Table 1
Project,Status,CSM,Support Engineer,Equipment,Warranty Start Date,Staff Dashboard,Live Locations,Total Loactions,Support Coverage,SLA,,,,,,,,,,,,,,,,,,
The Greene Turtle,Pilot,"Jensen Packianathan, Richard Holley",Keith Yoder,,,,3,41,,,,,,,,,,,,,,,,,,,,
Tijuana Flats,Deployed,Richard Holley,Anh Truong,,,Web Browser,113,125,,,,,,,,,,,,,,,,,,,,
Tropical Smoothie Cafe,Deployed,"Lily Larsen, Richard Holley","Anh Truong, Francis Nguyen",,,Web Browser,102,850,,,,,,,,,,,,,,,,,,,,
United Supermarkets LLC,Deployed,"Lily Larsen, Mo Powell",Keith Yoder,,,"Staff App, Web Browser",62,62,,,,,,,,,,,,,,,,,,,,
Vineyard Vines,Deployed,"Lily Larsen, Mo Powell",Al Hewitt,,,Web Browser,76,76,,,,,,,,,,,,,,,,,,,,
WaBa Grill,Pre - Sales,???,Al Hewitt,,,,,192,,,,,,,,,,,,,,,,,,,,
Wakefern,Pre - Sales,???,Keith Yoder,,,,,350,,,,,,,,,,,,,,,,,,,,
Weis,Pre - Pilot,Mo Powell,Al Hewitt,,,,,175,,,,,,,,,,,,,,,,,,,,
White Castle,Pre - Pilot,Jensen Packianathan,Al Hewitt,,,,,???,,,,,,,,,,,,,,,,,,,,
Wingstop,Deployed,"Jensen Packianathan, Mo Powell",Keith Yoder,,,Web Browser,97,1250,,,,,,,,,,,,,,,,,,,,
Wingstop France,Pre - Pilot,Jensen Packianathan,Keith Yoder,,,,,???,,,,,,,,,,,,,,,,,,,,
Your Pie,Pre - Sales,???,Al Hewitt,,,,,70,,,,,,,,,,,,,,,,,,,,
